cep,logradouro,bairro
01312020,Viaduto Doutor Plínio de Queiroz,Bela Vista
04835080,Rua Rubem Souto de Araújo,Jardim Beatriz
05888070,Rua Ernesto Soares Filho,Parque Fernanda
03931050,Rua Paula Cândido,Jardim São José (São Mateus)
04727160,Rua Osvaldo de Andrade,Vila Cruzeiro
02411040,Rua Irmão João Creff,Vila Aurora (Zona Norte)
05304000,Rua Frederico Wolf,Vila Leopoldina
02416040,Rua Clementino,Vila Vitório Mazzei
02808020,Rua Pedro de Velasco,Sítio Morro Grande
03433000,Rua Taubaté,Vila Fernandes
02550050,Rua Victório Primon,Limão
04837140,Rua Mesopotâmia,Vila Quintana
08345360,Travessa Sonho Lindo,Jardim da Conquista (Zona Leste)
04121001,Rua Santa Cruz,Vila Mariana
03051010,Rua Antônio Rolim Júnior,Brás
04707900,Avenida Roque Petroni Júnior 1089,Jardim das Acácias
04016002,Rua França Pinto,Vila Mariana
08080510,Rua João Nepomuceno,Parque Paulistano
04880085,Estrada Ecoturística de Parelheiros,Recanto Campo Belo
04473160,Rua dos Acarapevas,Balneário São Francisco
08111290,Rua Benigno Nogueira Franco,Jardim das Oliveiras
01004010,Rua Quintino Bocaiúva,Sé
01106000,Rua Jorge Miranda,Luz
03618050,Rua Colibri,Vila Marieta
05268160,Rua Javarimirim,Conjunto Residencial Jardim Canaã
04433020,Rua Glycério Almeida Maciel,Jardim Itapura
04747000,Rua João Alfredo,Santo Amaro
04611003,Rua República do Iraque,Campo Belo
04843140,Rua Saint Pierre,Parque São Paulo
04915150,Rua Pedro Agulha de Figueiró,Jardim Figueira Grande
05134380,Rua Martinho do Amaral,Vila Guedes
02820080,Rua Vale do Rio Doce,Vila Brasilândia
01021100,Rua Vinte e Cinco de Março,Centro
02616030,Rua Doutor Paulino Augusto,Vila Continental
08391410,Rua Hortênsias,Parque das Flores
05209020,Rua Margarida Rainha,Conjunto Habitacional Recanto dos Humildes
02995065,Rua Sapopemba,Jardim São João (Jaraguá)
03383080,Rua Carlos Barbieri,Capão do Embira
04751030,Praça Floriano Peixoto,Santo Amaro
03974000,Rua Enes Silveira de Mello,Jardim Santa Adélia
